Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa;Liga
SC Chabab Mohammédia;0;6;RCA Raja Casablanca Athletic;Botola
CODM Meknes;0;3;FUS Rabat;Botola
Hassania Agadir;0;3;FAR Rabat;Botola
Moghreb Tétouan;0;3;Jeunesse Sportive Soualem;Botola
Union de Touarga;0;2;Olympic Club de Safi;Botola
Wydad Casablanca;2;0;Renaissance Club Zemamra;Botola
Ittihad Tanger;2;0;CODM Meknes;Botola
Jeunesse Sportive Soualem;0;2;Wydad Casablanca;Botola
Renaissance Club Zemamra;3;0;Union de Touarga;Botola
RS Berkane;1;0;SC Chabab Mohammédia;Botola
CODM Meknes;0;4;RS Berkane;Botola
Difaâ El Jadida;0;5;FUS Rabat;Botola
Maghreb Fès;2;0;Jeunesse Sportive Soualem;Botola
Moghreb Tétouan;3;0;Renaissance Club Zemamra;Botola
Union de Touarga;0;0;RCA Raja Casablanca Athletic;Botola
FAR Rabat;2;0;Jeunesse Sportive Soualem;Botola
Ittihad Tanger;0;1;Union de Touarga;Botola
RCA Raja Casablanca Athletic;1;0;Hassania Agadir;Botola
Hassania Agadir;2;0;RS Berkane;Botola
Union de Touarga;0;1;FAR Rabat;Botola
Difaâ El Jadida;1;0;SC Chabab Mohammédia;Botola
Maghreb Fès;1;0;FUS Rabat;Botola
CODM Meknes;1;0;Olympic Club de Safi;Botola
Jeunesse Sportive Soualem;0;1;Renaissance Club Zemamra;Botola
SC Chabab Mohammédia;0;4;Hassania Agadir;Botola
Olympic Club de Safi;2;0;Renaissance Club Zemamra;Botola
Moghreb Tétouan;0;2;RS Berkane;Botola
Jeunesse Sportive Soualem;0;1;Olympic Club de Safi;Botola
FUS Rabat;3;0;Renaissance Club Zemamra;Botola
RS Berkane;0;0;Wydad Casablanca;Botola
RCA Raja Casablanca Athletic;0;0;Maghreb Fès;Botola
CODM Meknes;1;0;Hassania Agadir;Botola
SC Chabab Mohammédia;0;2;Moghreb Tétouan;Botola
Difaâ El Jadida;1;0;Union de Touarga;Botola
Ittihad Tanger;1;0;Jeunesse Sportive Soualem;Botola
FAR Rabat;0;0;RCA Raja Casablanca Athletic;Botola
Renaissance Club Zemamra;2;0;Ittihad Tanger;Botola
Olympic Club de Safi;0;0;FUS Rabat;Botola
Wydad Casablanca;0;0;CODM Meknes;Botola
Jeunesse Sportive Soualem;0;4;RS Berkane;Botola
Maghreb Fès;1;0;SC Chabab Mohammédia;Botola
RS Berkane;1;0;Renaissance Club Zemamra;Botola
RCA Raja Casablanca Athletic;2;0;Jeunesse Sportive Soualem;Botola
CODM Meknes;0;0;Union de Touarga;Botola
FUS Rabat;0;1;RS Berkane;Botola
Wydad Casablanca;2;0;Hassania Agadir;Botola
Olympic Club de Safi;0;0;Difaâ El Jadida;Botola
RS Berkane;2;0;FAR Rabat;Botola
FAR Rabat;1;0;Difaâ El Jadida;Botola
Difaâ El Jadida;0;2;Wydad Casablanca;Botola
SC Chabab Mohammédia;0;1;Renaissance Club Zemamra;Botola
Ittihad Tanger;1;0;FUS Rabat;Botola
CODM Meknes;1;0;Moghreb Tétouan;Botola
Renaissance Club Zemamra;2;0;Hassania Agadir;Botola
Difaâ El Jadida;0;3;Renaissance Club Zemamra;Botola
Union de Touarga;0;3;Maghreb Fès;Botola
SC Chabab Mohammédia;0;2;FUS Rabat;Botola
FAR Rabat;2;0;SC Chabab Mohammédia;Botola
Jeunesse Sportive Soualem;2;0;Difaâ El Jadida;Botola
Olympic Club de Safi;1;0;Moghreb Tétouan;Botola
RS Berkane;2;0;RCA Raja Casablanca Athletic;Botola
FUS Rabat;2;0;Union de Touarga;Botola
Ittihad Tanger;1;0;Hassania Agadir;Botola
SC Chabab Mohammédia;0;2;RS Berkane;Botola
Difaâ El Jadida;2;0;RCA Raja Casablanca Athletic;Botola
Renaissance Club Zemamra;0;0;Wydad Casablanca;Botola
RS Berkane;2;0;Maghreb Fès;Botola
RCA Raja Casablanca Athletic;3;0;SC Chabab Mohammédia;Botola
Jeunesse Sportive Soualem;2;0;Moghreb Tétouan;Botola
RS Berkane;3;0;CODM Meknes;Botola
Maghreb Fès;0;1;Olympic Club de Safi;Botola
CODM Meknes;1;0;Ittihad Tanger;Botola
Union de Touarga;0;0;Renaissance Club Zemamra;Botola
Wydad Casablanca;3;0;Jeunesse Sportive Soualem;Botola
Hassania Agadir;0;1;FUS Rabat;Botola
Jeunesse Sportive Soualem;0;2;Maghreb Fès;Botola
Renaissance Club Zemamra;2;0;Moghreb Tétouan;Botola
Olympic Club de Safi;0;0;Hassania Agadir;Botola
Maghreb Fès;0;1;Renaissance Club Zemamra;Botola
Jeunesse Sportive Soualem;0;3;FAR Rabat;Botola
Moghreb Tétouan;0;2;FUS Rabat;Botola
Wydad Casablanca;1;0;Olympic Club de Safi;Botola
Renaissance Club Zemamra;0;0;Jeunesse Sportive Soualem;Botola
Olympic Club de Safi;3;0;CODM Meknes;Botola
Union de Touarga;0;1;RS Berkane;Botola
Maghreb Fès;1;0;FAR Rabat;Botola
Moghreb Tétouan;0;0;RCA Raja Casablanca Athletic;Botola
CODM Meknes;3;0;Difaâ El Jadida;Botola
FAR Rabat;1;0;Renaissance Club Zemamra;Botola
FUS Rabat;0;1;Wydad Casablanca;Botola
SC Chabab Mohammédia;0;3;Union de Touarga;Botola
Difaâ El Jadida;2;0;Hassania Agadir;Botola
RCA Raja Casablanca Athletic;0;0;CODM Meknes;Botola
Olympic Club de Safi;1;0;Jeunesse Sportive Soualem;Botola
Hassania Agadir;3;0;CODM Meknes;Botola
Wydad Casablanca;0;1;RS Berkane;Botola
Maghreb Fès;0;0;RCA Raja Casablanca Athletic;Botola
Moghreb Tétouan;3;0;SC Chabab Mohammédia;Botola
CODM Meknes;2;0;Wydad Casablanca;Botola
FUS Rabat;3;0;Olympic Club de Safi;Botola
Ittihad Tanger;0;1;Renaissance Club Zemamra;Botola
RS Berkane;1;0;Jeunesse Sportive Soualem;Botola
SC Chabab Mohammédia;0;1;Maghreb Fès;Botola
Difaâ El Jadida;1;0;Moghreb Tétouan;Botola
RCA Raja Casablanca Athletic;0;0;FAR Rabat;Botola
Maghreb Fès;1;0;Difaâ El Jadida;Botola
Moghreb Tétouan;0;2;Hassania Agadir;Botola
Union de Touarga;0;0;CODM Meknes;Botola
FAR Rabat;1;0;FUS Rabat;Botola
RS Berkane;0;1;FUS Rabat;Botola
RCA Raja Casablanca Athletic;2;0;Renaissance Club Zemamra;Botola
CODM Meknes;2;0;Maghreb Fès;Botola
SC Chabab Mohammédia;0;0;Jeunesse Sportive Soualem;Botola
Union de Touarga;1;0;Moghreb Tétouan;Botola
Difaâ El Jadida;1;0;FAR Rabat;Botola
RS Berkane;0;0;Ittihad Tanger;Botola
RCA Raja Casablanca Athletic;1;0;FUS Rabat;Botola
FUS Rabat;0;0;Ittihad Tanger;Botola
Jeunesse Sportive Soualem;0;0;Union de Touarga;Botola
Renaissance Club Zemamra;3;0;SC Chabab Mohammédia;Botola
Maghreb Fès;1;0;Hassania Agadir;Botola
FAR Rabat;4;0;CODM Meknes;Botola
Olympic Club de Safi;0;2;RS Berkane;Botola
CODM Meknes;0;2;Jeunesse Sportive Soualem;Botola
Hassania Agadir;0;1;Renaissance Club Zemamra;Botola
FUS Rabat;4;0;SC Chabab Mohammédia;Botola
Jeunesse Sportive Soualem;0;1;Hassania Agadir;Botola
Wydad Casablanca;1;0;Moghreb Tétouan;Botola
RCA Raja Casablanca Athletic;0;1;RS Berkane;Botola
Hassania Agadir;0;1;Ittihad Tanger;Botola
Moghreb Tétouan;0;0;Olympic Club de Safi;Botola
SC Chabab Mohammédia;0;5;FAR Rabat;Botola
Maghreb Fès;1;0;Wydad Casablanca;Botola
